ticker,flag,evidence,harmful,note
DT,b_former_name,"former name 'Dynatrace Holdings LLC' (2019-04-12..2019-07-31) -> 'Dynatrace, Inc.'; SIC now Services-Prepackaged Software",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
DXC,b_former_name,"former name 'Everett SpinCo, Inc.' (2016-11-02..2017-03-31) -> 'DXC Technology Co'; SIC now Services-Computer Processing & Data Preparation",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
EAT,b_former_name,"former name 'BRINKER INTERNATIONAL INC' (1994-11-08..2019-07-10) -> 'BRINKER INTERNATIONAL, INC'; SIC now Retail-Eating  Places",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
EEFT,b_former_name,"former name 'EURONET WORLDWIDE INC' (2001-11-14..2020-06-22) -> 'EURONET WORLDWIDE, INC.'; SIC now Functions Related To Depository Banking, NEC",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
EFC,b_former_name,former name 'Ellington Financial LLC' (2007-08-28..2019-03-04) -> 'Ellington Financial Inc.'; SIC now Real Estate,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
EFOR,b_former_name,former name 'ON ASSIGNMENT INC' (1996-09-30..2018-03-27) -> 'Everforth Inc'; SIC now Services-Help Supply Services,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
EHC,b_former_name,former name 'HEALTHSOUTH CORP' (1995-03-08..2017-12-12) -> 'Encompass Health Corp'; SIC now Services-Hospitals,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ELF,b_former_name,"former name 'J.A. Cosmetics Holdings, Inc.' (2014-02-14..2014-02-14) -> 'e.l.f. Beauty, Inc.'; SIC now Perfumes, Cosmetics & Other Toilet Preparations",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ENR,b_former_name,"former name 'Energizer SpinCo, Inc.' (2015-02-06..2015-07-01) -> 'ENERGIZER HOLDINGS, INC.'; SIC now Miscellaneous Electrical Machinery, Equipment & Supplies",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
EPAC,b_former_name,former name 'ACTUANT CORP' (2001-03-29..2020-01-28) -> 'ENERPAC TOOL GROUP CORP'; SIC now Misc Industrial & Commercial Machinery & Equipment,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
EPC,b_former_name,"former name 'ENERGIZER HOLDINGS INC' (1999-10-15..2015-06-30) -> 'EDGEWELL PERSONAL CARE Co'; SIC now Perfumes, Cosmetics & Other Toilet Preparations",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
EQH,b_former_name,"former name 'AXA Equitable Holdings, Inc.' (2017-11-13..2020-01-10) -> 'Equitable Holdings, Inc.'; SIC now Insurance Agents, Brokers & Service",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
EQH,b_former_name,"former name 'AXA AMERICA HOLDINGS, INC.' (2005-08-19..2017-09-01) -> 'Equitable Holdings, Inc.'; SIC now Insurance Agents, Brokers & Service",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ESI,b_former_name,former name 'Platform Specialty Products Corp' (2013-11-05..2019-01-28) -> 'Element Solutions Inc'; SIC now Miscellaneous Chemical Products,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
EVR,b_former_name,former name 'Evercore Partners Inc.' (2006-05-12..2017-08-01) -> 'Evercore Inc.'; SIC now Investment Advice,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
FBK,b_former_name,"former name 'First South Bancorp, Inc.' (2015-09-25..2015-11-23) -> 'FB Financial Corp'; SIC now State Commercial Banks",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
FBRT,b_former_name,"former name 'Benefit Street Partners Realty Trust, Inc.' (2017-02-03..2021-10-12) -> 'Franklin BSP Realty Trust, Inc.'; SIC now Real Estate Investment Trusts",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
FBRT,b_former_name,"former name 'Realty Finance Trust, Inc.' (2015-02-17..2017-01-03) -> 'Franklin BSP Realty Trust, Inc.'; SIC now Real Estate Investment Trusts",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
FBRT,b_former_name,"former name 'ARC Realty Finance Trust, Inc.' (2012-11-29..2015-02-04) -> 'Franklin BSP Realty Trust, Inc.'; SIC now Real Estate Investment Trusts",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
FCFS,b_former_name,"former name 'FIRSTCASH, INC' (2016-09-01..2021-12-13) -> 'FirstCash Holdings, Inc.'; SIC now Retail-Miscellaneous Retail",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
FCFS,b_former_name,"former name 'FIRST CASH FINANCIAL SERVICES INC' (1999-02-16..2016-08-30) -> 'FirstCash Holdings, Inc.'; SIC now Retail-Miscellaneous Retail",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
FCN,b_former_name,"former name 'FTI CONSULTING INC' (1998-08-13..2019-06-11) -> 'FTI CONSULTING, INC'; SIC now Services-Management Consulting Services",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
FHB,b_former_name,"former name 'BANCWEST CORP/HI' (1998-11-10..2016-03-04) -> 'FIRST HAWAIIAN, INC.'; SIC now State Commercial Banks",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
FHI,b_former_name,"former name 'FEDERATED INVESTORS INC /PA/' (1998-04-24..2020-01-30) -> 'FEDERATED HERMES, INC.'; SIC now Investment Advice",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
FHN,b_former_name,former name 'FIRST HORIZON NATIONAL CORP' (2004-04-22..2020-11-25) -> 'FIRST HORIZON CORP'; SIC now National Commercial Banks,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
FNB,b_former_name,former name 'FNB CORP/FL/' (2001-07-17..2016-09-09) -> 'FNB CORP/PA/'; SIC now National Commercial Banks,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
FND,b_former_name,"former name 'FDO Holdings, Inc.' (2010-12-07..2017-04-10) -> 'Floor & Decor Holdings, Inc.'; SIC now Retail-Lumber & Other Building Materials Dealers",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
FTDR,b_former_name,"former name 'AHS Holding Company, Inc.' (2018-01-23..2018-05-25) -> 'Frontdoor, Inc.'; SIC now Services-To Dwellings & Other Buildings",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
FTI,b_former_name,former name 'TechnipFMC Ltd' (2016-08-10..2016-12-21) -> 'TechnipFMC plc'; SIC now Oil & Gas Field Machinery & Equipment,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
GBCI,b_former_name,"former name 'GLACIER BANCORP INC' (1996-11-12..2019-08-07) -> 'GLACIER BANCORP, INC.'; SIC now State Commercial Banks",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
GEF,b_former_name,"former name 'GREIF INC' (2003-06-10..2019-09-26) -> 'GREIF, INC'; SIC now Metal Shipping Barrels, Drums, Kegs & Pails",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
GNL,b_former_name,"former name 'American Realty Capital Global Trust, Inc.' (2012-08-15..2015-04-29) -> 'Global Net Lease, Inc.'; SIC now Real Estate Investment Trusts",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
HALO,b_former_name,"former name 'HALOZYME THERAPEUTICS INC' (2004-03-17..2019-07-03) -> 'HALOZYME THERAPEUTICS, INC.'; SIC now Biological Products, (No Diagnostic Substances)",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
HCC,b_former_name,"former name 'WARRIOR MET COAL, LLC' (2017-01-30..2017-04-13) -> 'WARRIOR MET COAL, INC.'; SIC now Silver Ores",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
HIW,b_former_name,"former name 'HIGHWOODS PROPERTIES INC' (1995-09-08..2019-07-01) -> 'HIGHWOODS PROPERTIES, INC.'; SIC now Real Estate Investment Trusts",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
HLI,b_former_name,"former name 'HOULIHAN LOKEY HOWARD & ZUKIN INC' (2004-08-26..2015-05-08) -> 'HOULIHAN LOKEY, INC.'; SIC now Investment Advice",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
HOG,b_former_name,"former name 'HARLEY DAVIDSON INC' (1994-06-27..2019-06-14) -> 'HARLEY-DAVIDSON, INC.'; SIC now Motorcycles, Bicycles & Parts",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
HOPE,b_former_name,former name 'BBCN BANCORP INC' (2011-12-07..2016-07-18) -> 'HOPE BANCORP INC'; SIC now National Commercial Banks,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
HP,b_former_name,"former name 'HELMERICH & PAYNE INC' (1994-01-26..2015-08-07) -> 'Helmerich & Payne, Inc.'; SIC now Drilling Oil & Gas Wells",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
HQY,b_former_name,"former name 'HEALTHEQUITY INC' (2008-02-22..2019-06-06) -> 'HEALTHEQUITY, INC.'; SIC now Services-Business Services, NEC",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
HR,b_former_name,"former name 'Healthcare Trust of America Holdings, LP' (2016-08-02..2016-08-02) -> 'Healthcare Realty Trust Inc'; SIC now Real Estate Investment Trusts",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
HTO,b_former_name,former name 'SJW CORP' (1994-11-14..2016-11-02) -> 'H2O AMERICA'; SIC now Water Supply,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
HUBG,b_former_name,"former name 'Hub Group' (2016-07-26..2016-07-29) -> 'Hub Group, Inc.'; SIC now Arrangement of  Transportation of  Freight & Cargo",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
HUBG,b_former_name,"former name 'HUB GROUP INC' (1996-12-12..2016-07-12) -> 'Hub Group, Inc.'; SIC now Arrangement of  Transportation of  Freight & Cargo",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
HWC,b_former_name,former name 'HANCOCK HOLDING CO' (1994-01-25..2018-05-24) -> 'HANCOCK WHITNEY CORP'; SIC now State Commercial Banks,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
IESC,b_former_name,"former name 'Integrated Electrical Services, Inc.' (2015-01-09..2016-05-16) -> 'IES Holdings, Inc.'; SIC now Electrical Work",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
IESC,b_former_name,"former name 'INTEGRATED ELECTRICAL SERVICES INC' (1997-12-11..2015-01-06) -> 'IES Holdings, Inc.'; SIC now Electrical Work",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ILMN,b_former_name,"former name 'ILLUMINA INC' (2000-04-14..2019-08-19) -> 'ILLUMINA, INC.'; SIC now Laboratory Analytical Instruments",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
INSW,b_former_name,"former name 'OSG International, INC' (2016-07-15..2016-09-15) -> 'International Seaways, Inc.'; SIC now Water Transportation",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
INVA,b_former_name,"former name 'THERAVANCE INC' (2004-06-02..2015-12-07) -> 'Innoviva, Inc.'; SIC now Pharmaceutical Preparations",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
IRT,b_former_name,"former name 'INDEPENDENCE REALTY TRUST, INC' (2011-03-04..2017-06-19) -> 'INDEPENDENCE REALTY TRUST, INC.'; SIC now Real Estate Investment Trusts",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ITGR,b_former_name,"former name 'GREATBATCH, INC.' (2005-06-03..2016-05-31) -> 'Integer Holdings Corp'; SIC now Electromedical & Electrotherapeutic Apparatus",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ITRI,b_former_name,"former name 'ITRON INC /WA/' (1996-10-08..2019-07-03) -> 'ITRON, INC.'; SIC now Instruments For Meas & Testing of  Electricity & Elec Signals",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ITT,b_former_name,former name 'ITT CORP' (2010-03-09..2016-05-16) -> 'ITT INC.'; SIC now Pumps & Pumping Equipment,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ITT,b_former_name,former name 'ITT Corp' (2010-03-09..2016-05-16) -> 'ITT INC.'; SIC now Pumps & Pumping Equipment,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
IVT,b_former_name,"former name 'Inland American Real Estate Trust, Inc.' (2005-02-11..2015-04-13) -> 'InvenTrust Properties Corp.'; SIC now Real Estate Investment Trusts",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
JEF,b_former_name,"former name 'LEUCADIA NATIONAL CORP' (1994-06-01..2018-05-15) -> 'Jefferies Financial Group Inc.'; SIC now Security Brokers, Dealers & Flotation Companies",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
KD,b_former_name,"former name 'Kyndryl Holdings, LLC' (2021-06-22..2021-08-31) -> 'Kyndryl Holdings, Inc.'; SIC now Services-Computer Integrated Systems Design",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
KFY,b_former_name,former name 'KORN FERRY INTERNATIONAL' (1998-12-24..2018-12-20) -> 'KORN FERRY'; SIC now Services-Employment Agencies,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
KGS,b_former_name,"former name 'Frontier TopCo, Inc.' (2019-02-07..2019-02-07) -> 'Kodiak Gas Services, Inc.'; SIC now Natural Gas Transmission",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
KNX,b_former_name,former name 'SWIFT TRANSPORTATION Co' (2010-08-18..2017-08-30) -> 'Knight-Swift Transportation Holdings Inc.'; SIC now Trucking (No Local),no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
KNX,b_former_name,former name 'SWIFT TRANSPORTATION CO' (2010-08-18..2017-08-30) -> 'Knight-Swift Transportation Holdings Inc.'; SIC now Trucking (No Local),no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
LCII,b_former_name,former name 'DREW INDUSTRIES INC' (2015-04-10..2016-12-27) -> 'LCI INDUSTRIES'; SIC now Motor Vehicle Parts & Accessories,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
LCII,b_former_name,former name 'DREW INDUSTRIES Inc' (2015-04-10..2016-12-27) -> 'LCI INDUSTRIES'; SIC now Motor Vehicle Parts & Accessories,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
LIVN,b_former_name,former name 'Sand Holdco Plc' (2015-04-20..2015-06-12) -> 'LivaNova PLC'; SIC now Electromedical & Electrotherapeutic Apparatus,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
LNTH,b_former_name,"former name 'Lantheus MI Holdings, Inc.' (2014-03-25..2014-05-23) -> 'Lantheus Holdings, Inc.'; SIC now In Vitro & In Vivo Diagnostic Substances",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
LRN,b_former_name,"former name 'K12 INC' (2002-07-02..2020-12-15) -> 'Stride, Inc.'; SIC now Services-Educational Services",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
LUMN,b_former_name,"former name 'CENTURYLINK, INC' (2010-11-09..2021-01-20) -> 'Lumen Technologies, Inc.'; SIC now Telephone Communications (No Radiotelephone)",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
LXP,b_former_name,former name 'LEXINGTON REALTY TRUST' (2007-01-04..2021-12-08) -> 'LXP Industrial Trust'; SIC now Real Estate Investment Trusts,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
LZ,b_former_name,"former name 'LEGALZOOM COM INC' (2004-04-02..2021-06-04) -> 'LEGALZOOM.COM, INC.'; SIC now Services-Computer Processing & Data Preparation",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
MHO,b_former_name,"former name 'M I HOMES INC' (2004-01-13..2019-06-21) -> 'M/I HOMES, INC.'; SIC now Operative Builders",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
MLKN,b_former_name,"former name 'HERMAN MILLER INC' (2019-12-09..2021-10-29) -> 'MILLERKNOLL, INC.'; SIC now Office Furniture",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
MLKN,b_former_name,"former name 'MILLER HERMAN INC' (1994-11-23..2019-11-05) -> 'MILLERKNOLL, INC.'; SIC now Office Furniture",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
MMS,b_former_name,"former name 'MAXIMUS INC' (1997-03-28..2019-07-02) -> 'MAXIMUS, INC.'; SIC now Services-Business Services, NEC",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
MOH,b_former_name,"former name 'MOLINA HEALTHCARE INC' (2002-12-30..2019-07-03) -> 'MOLINA HEALTHCARE, INC.'; SIC now Hospital & Medical Service Plans",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
MSA,b_former_name,"former name 'MINE SAFETY APPLIANCES CO' (1994-05-11..2014-03-06) -> 'MSA Safety Inc'; SIC now Orthopedic, Prosthetic & Surgical Appliances & Supplies",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
MSGS,b_former_name,former name 'Madison Square Garden Co' (2015-04-23..2020-04-06) -> 'Madison Square Garden Sports Corp.'; SIC now Services-Miscellaneous Amusement & Recreation,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
MSGS,b_former_name,"former name 'MSG SPINCO, INC.' (2015-03-27..2015-09-29) -> 'Madison Square Garden Sports Corp.'; SIC now Services-Miscellaneous Amusement & Recreation",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
MTSI,b_former_name,"former name 'M/A-COM Technology Solutions Holdings, Inc.' (2010-06-08..2016-05-27) -> 'MACOM Technology Solutions Holdings, Inc.'; SIC now Semiconductors & Related Devices",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
MUR,b_former_name,former name 'MURPHY OIL CORP /DE' (1994-02-14..2019-07-12) -> 'MURPHY OIL CORP'; SIC now Crude Petroleum & Natural Gas,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
NABL,b_former_name,"former name 'N-able, LLC' (2021-03-26..2021-04-06) -> 'N-able, Inc.'; SIC now Services-Prepackaged Software",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
NABL,b_former_name,"former name 'SWI Spinco, LLC' (2020-12-04..2021-03-02) -> 'N-able, Inc.'; SIC now Services-Prepackaged Software",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
NAVI,b_former_name,"former name 'New Corp' (2013-12-06..2014-02-28) -> 'NAVIENT CORP'; SIC now Security Brokers, Dealers & Flotation Companies",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
NOV,b_former_name,former name 'NATIONAL OILWELL VARCO INC' (2005-03-11..2020-12-22) -> 'NOV Inc.'; SIC now Oil & Gas Field Machinery & Equipment,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
NOVT,b_former_name,"former name 'GSI GROUP INC' (2005-06-27..2016-05-06) -> 'NOVANTA INC'; SIC now Miscellaneous Electrical Machinery, Equipment & Supplies",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
NWL,b_former_name,"former name 'NEWELL BRANDS, INC.' (2019-10-17..2019-10-25) -> 'NEWELL BRANDS INC.'; SIC now Plastics Products, NEC",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
NWL,b_former_name,"former name 'NEWELL BRANDS INC' (2016-02-11..2019-10-09) -> 'NEWELL BRANDS INC.'; SIC now Plastics Products, NEC",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
NWL,b_former_name,"former name 'NEWELL RUBBERMAID INC' (1999-09-29..2016-04-15) -> 'NEWELL BRANDS INC.'; SIC now Plastics Products, NEC",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
NXST,b_former_name,"former name 'NEXSTAR BROADCASTING GROUP INC' (2001-07-23..2017-01-13) -> 'NEXSTAR MEDIA GROUP, INC.'; SIC now Television Broadcasting Stations",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
